Id,Verified,Followers,Region
frozenmn,false,2251,
MahsaWho,true,6180,Florida
GreerBower,false,33,Ohio
RickInBuffalo,false,3198,New York
CaCindy3,false,1852,California
SoCalDoc,false,302,California
drjeffmbaxter,false,591,Colorado
hanna_darl,false,3521,
carlsemmes,false,373,
NickTheSilent,false,992,Colorado
ElecCollPolls,false,726,Washington
SKYRIDER4538,false,140751,
dj09876543,false,521,Massachusetts
bridget123goooo,false,15280,Massachusetts
solomom1171,false,3502,
B_RadleyBurris,false,287,Maryland
ilovetrump93,false,7360,West Virginia
SD_SocialWorker,false,1387,California
Adamsturdi,false,152,
NomadCovfefe,false,8173,
josh__blaylock,false,295,Georgia
Dwiggins89,false,325,California
TXHomeStager,false,2501,Texas
tjmac_teri,false,172,Texas
Adaria___,false,1622,Pennsylvania
bokeprinbmore,false,2514,
lmblaj1234,false,1457,Florida
Moniquee883,false,175,
sorokti,false,2269,Illinois
allthebestword1,false,14,
ratsavage,false,184,
dchweb,false,1209,
VeryMaryPetty,false,967,Florida
MissouriGOP,true,17741,Missouri
Dorothyshw,false,984,California
WinndizzleW,false,2734,
notComey,false,3927,Florida
SarahDaniels,false,6178,
17Thanq,false,11324,California
AleshaHase,false,5,Oregon
Obarbieo1,false,1073,Montana
DiabeticCyborgg,false,6276,Texas
bethhayden_2019,false,3179,
sunnyDee50,false,3487,Oklahoma
pegram58,false,3687,South Carolina
CSimMil,false,451,Nebraska
TheTrueRichRod,false,30,Texas
tonyareiman,false,3176,New York
goldenpanther12,false,4219,Pennsylvania
AMusings,false,447,California
jhritzen,false,55,Missouri
EthicaLLC,false,446,Florida
Chito_SSBU,false,213,Georgia
Bbyhuey2020,false,242,
3LWTV,true,25759,Georgia
wolfbynight,false,54,Texas
VzlansForTrump,false,503,
realvalueprod,false,46,California
sameerhacharya,false,817,California
Brianl690,false,1888,Montana
Steve_Games,false,710,California
CovidGet,false,11,
JBucknoff,false,4010,New Jersey
CatholicNewsSvc,true,192596,District of Columbia
mcpbob,false,10094,New York
chriskallas654,false,178,Florida
realFireblazes,false,15215,Texas
NeceHorn,false,21195,
DJNazSD,false,39678,California
chenmarie39,false,853,Michigan
fireboy869unwa1,false,1703,Texas
nanluvsmatt,false,3515,
ByEvanThompson,false,426,Washington
barbara_crafts,false,1501,Oregon
JustBreathe59,false,1077,Oklahoma
RichardEricD,false,59,Maryland
half_witt,false,3365,Wisconsin
jgaepi,false,168,California
21law,false,1616,Illinois
VA1Conservative,false,4556,Virginia
zooslife,false,54,
nhssabine,false,10226,
MrKyleWhitt,false,58,
ConscienceCit,false,6976,Florida
Grav1,true,3675,Texas
AbandonedLizard,false,75,New Jersey
s_paxton,false,706,Oklahoma
GoatVsFish,false,535,
ElFloyo,false,8519,
Rigby92831138,false,92,Florida
kathylienfx,false,53591,New York
CherylBroker,false,6826,California
rkettenacker,false,67,Ohio
DavidDRobbins,false,669,Wisconsin
TigerMary4Trump,false,6770,Nevada
hpmcmill,false,1988,New York
wrawlsfl,false,1542,Florida
KarenL516,false,26581,
liber_tech,false,359,Tennessee
reed_revolution,false,34,Missouri
JamesYusczyk,false,75,Pennsylvania
888Tron,false,5176,
MisuzT,false,3327,New Hampshire
SabrinaLaCole,false,4348,Georgia
JohnDBeckTV,true,25423,California
edensaunt,false,1165,Pennsylvania
DollarsnSenseJR,false,230,New York
ProfJonTaylor,false,4337,Texas
BobEwoldt,false,22648,Illinois
Colonit,false,1615,
KarenAm37109806,false,98,Arizona
JozeyWellzATL,false,596,Georgia
DonaldNicolas,false,436,Florida
LWVMarin,false,406,California
NeensCa,false,60780,Texas
MichaelParthum,false,2391,New York
AboutMoneyRadio,false,1152,Washington
khenry657,false,2331,Tennessee
TheMIAReporter1,false,25,Pennsylvania
januarycat,false,361,Texas
RealMaryz,false,1030,Maryland
eateloteamdao,false,115,California
didikins4life,false,30239,Michigan
iyamtoo,false,7535,District of Columbia
TheChrisSuprun,true,15089,
NKassheimer,false,2624,Oklahoma
LpPedigo,false,1379,Indiana
2lovies,false,34587,
RoseIrvine1,false,587,
tdtexasmom,false,79,Texas
isearch4sanity,false,203,California
ChuckVansShow,false,4359,Texas
USATODAY,true,4164483,Virginia
VegasFilmCritic,false,1021,Nevada
SteveGuidetti,false,102,
DuncanUrbom,false,51,
markvegezzi1,false,590,Florida
bobco85,false,576,Washington
BellsInequality,false,23776,Iowa
nyinvesting,false,53588,New York
santuci71_frank,false,47,New Jersey
LisaMichelleEll,false,3155,Kentucky
dardar1126,false,769,Texas
JntPodcast,false,8835,California
FHick66,false,817,Georgia
soaprookie,false,1507,New York
EvolvingManLBV,false,2098,Georgia
prettysingqueen,false,187,Florida
rforkish,false,220,Oregon
WowShane,false,9369,Michigan
Heffaay,false,66,New York
clawsons84,false,285,Washington
eewart,false,289,New York
EveryLibrary,true,12229,
PawsXXd,false,54,
tweetypickler,false,3878,Pennsylvania
UniteBlueMN,false,5471,Minnesota
stealthebasis,false,857,Illinois
Maldo_Riv,false,144,Virginia
Ms_Robinett,false,336,New York
DonAndrewsRadio,false,163,California
FatBanksy,false,11,
MagnaGeek,false,65,Utah
st7v7ns,false,83,
thewoman62,false,4149,Georgia
Charles98525018,false,189,California
JoeyReincarnat6,false,2275,
katmur23,false,8975,
blaze0497,false,33249,Kentucky
baugustyniak3,false,84,Arizona
SpringerKM,false,3335,Massachusetts
EvanDewayne,false,2218,Michigan
ltzQ17,false,1753,New Jersey
pia_jeannie,false,477,Texas
crlulukat,false,1637,California
Lizzy047,false,3058,
sapiofox,false,40011,
mainenewshound,false,294,
NisinCA,false,3847,Arizona
Langer2005,false,79,
MariasMusings,false,1900,Illinois
KidCappy,false,191,Colorado
altcensored,false,4069,
your_mom4242,false,539,Oklahoma
ToniJBruno,false,82,North Carolina
hapydaiz,false,359,California
trail_8,false,3363,Arizona
DemTrumpHater,false,3966,Ohio
JR3ufo,false,1517,Virginia
shannybeeee,false,50,Louisiana
Freedomnow71,false,4060,New Hampshire
rivernest1800,false,683,
Lisa_Lines,false,330,California
beverlyNOTMYPRE,false,2159,Georgia
Melbo0221,false,324,Florida
erinjontow,false,612,
LWVHuntingtonNY,false,149,New York
DeclanMHurley,false,91,
dawg_lb,false,34232,
todd_sntcareers,false,180,Louisiana
muzzys_kitchen,false,69,Missouri
marybaker783,false,400,
BoiseState,true,42135,Idaho
jsragas,false,241,Florida
titatheorigina1,false,14,Texas
IWV,true,226052,District of Columbia
DaneDach,false,3321,
ozmox,false,712,Texas
JohnIPyke,false,194,Michigan
percetion,false,1143,New York
jojo71,false,321,Utah
Thrive_33,false,3,California
DJTMentionsBot,false,486,
joannmw24,false,2416,Florida
TapRoomPolitics,false,2996,Connecticut
wootendw,false,147,Oklahoma
AndAmericaForA1,false,139,Florida
wolfpacoregon,false,181,Oregon
PeggyStuart,false,18919,Oregon
PatriotCzar,false,12440,
JMuser16,false,1285,Texas
wnypeace,false,929,New York
fakenew44129669,false,1,Pennsylvania
Robynmonty,false,37700,Nevada
BearItNBarrett,false,24,
DBtv,false,3287,Colorado
DonCalzoneVIP,false,1244,Massachusetts
