Source,Target,Time
CraigSymons,TimKennedyMMA,1600146185000
unclefancyy,jennawadsworth,1600201886000
EvolvingManLBV,,1601442588000
realvalueprod,libertytarian,1601429334000
SamChen220,SamChen220,1604357158000
fred_n7mhs,,1601172359000
bivouacgenetics,Jorgensen4POTUS,1596751959000
DonnaLeeParella,DanScavino,1604307195000
SixxHolliday,TimKennedyMMA,1600116517000
markaduck,,1604305759000
LibertyCentric,kelly4freedom,1603704807000
OmgawdMadeit,,1603905261000
_Zachary_Daniel,TimKennedyMMA,1600068075000
katysolt,katysolt,1604358289000
KymPMeyer,SFdirewolf,1603632059000
Dwiggins89,TimKennedyMMA,1600068577000
spicychangsauce,AntonioArellano,1603843453000
Colonit,TexasGOP,1602860028000
JRiotComstock,,1600285497000
ChaplainheArt,SCVIndy,1603065852000
JamesWithers3,AllisonGlock,1603841788000
Skinnyminmie,edlavaCNN,1601155803000
CaseyAdamF,,1601452267000
DavidDRobbins,DavidDRobbins,1603656989000
FatBanksy,JoeBiden,1601256204000
MacBetty,SKYRIDER4538,1601521325000
ashleighpierce_,ashleighpierce_,1604354603000
lanceluther83,Jorgensen4POTUS,1602835830000
MaybeMattyGaetz,,1596575408000
Lisa_Lines,gdstevens2,1604373803000
bethhayden_2019,TheLeoTerrell,1602995930000
ConnieLBrown61,SKYRIDER4538,1601516769000
jakeinator722,LarrySharpe,1604378872000
blaze0497,TrumperSeaney,1596798884000
LCHC_CA,,1603166164000
gracesmilegive,cognitivediss00,1601236996000
bradpomerance,MartinTruther,1602827602000
carlogarcia_16,insidernews,1603696403000
booda001,DanScavino,1604312456000
PaulaMariaAussi,,1604333350000
MontyBrinton,,1604012876000
AMusings,ABC,1604353723000
LPTexas,Jorgensen4POTUS,1600318328000
mariescircle,WSJ,1601708465000
richeblaze,RandPaul,1596480578000
CynGartner,MarlonMonteroFL,1603765187000
SErndt,HonourableHappy,1601451018000
TheScottCharles,Darrell_Clarke,1601326933000
Mother_Rell,Ziggy_Daddy,1603925484000
AssyrianGOP,JeanneIves,1604355190000
idiotic_t,TimKennedyMMA,1600108794000
didikins4life,SuMoh7,1601592727000
isaac_villasenr,Tellez1984,1603163463000
Lizzy047,FringeFlorida,1603139876000
Clone19991,ABC,1604349781000
Steve_Games,,1603153116000
KyivCassandra,CathiGeeslin,1601427608000
Austin_Police,austintexasgov,1601573678000
GPalhegyi,MalcolmOutLoud,1600153925000
Memphis_Grit,,1603940256000
nick_ponton,AP_Politics,1596659854000
avgusergirl,saribethrose,1604096863000
IceShelvesAndAC,,1602897683000
vicky38336024,EpochOpinion,1603069034000
realFireblazes,AP_Politics,1596663648000
shellpartduex,Reuters,1603586858000
ltzQ17,ltzQ17,1603861256000
PsychTimes,,1604108834000
pipelinerW,kirkacevedo,1604367450000
London03329926,JohnKasich,1604295874000
TheTrueRichRod,JohnKasich,1604312974000
isearch4sanity,DefendDemocracy,1603118525000
kathylienfx,,1603121284000
MattZimmerman0,DanScavino,1604304363000
crocker_allie,TheRealAndrew_,1603860817000
rqmatix,AbeAndTrump,1603149512000
DerekCastro84,,1600278164000
jcrcstl,NCJWSTL,1603055390000
bucknasty1007,DanScavino,1604308355000
MalcolmNance,DefendDemocracy,1602940931000
Rowdygirlinmt,AuthorFAChekki,1603523768000
CATTYCONSERVAT1,CWarrior17,1600127064000
granger_md,,1600103473000
SuzeeSusie,wellisz,1599873590000
hrumpole,ProudSocialist,1604358025000
Rixckydude,Jorgensen4POTUS,1596323640000
jadyn_bee,AntonioArellano,1603061874000
fudpucker_elmer,NikkiHaley,1603721708000
BrieBridschge,Jorgensen4POTUS,1598037143000
TeresaZebra4445,davidwebbshow,1604100262000
minniecactustt,JohnKasich,1604299798000
MariaViscovich,e_iaco,1603817321000
goldtoochunky,Reuters,1603517555000
alteileen,amandablount2,1603780344000
PrettyDreamer9,AprilDRyan,1599871974000
MannInMidMo,washingtonpost,1602879494000
fxmct71,peterdaou,1601432094000
JamesW_NC,RedPillMaC,1604371197000
Firefly44,Norsu2,1603607043000
UMPublicAffairs,ginsbergcenter,1604099463000
acura_mom_,VoteforKoach,1603925371000
888Tron,ConservBlue2020,1604345148000
daffi515,WesSmith123,1604379258000
Blowe48,VicToensing,1600216302000
ScribeMarjie,Jerusalem_Post,1603004820000
KatheeJohnston1,D_Alex_connect,1601445347000
gregpak,a35mmlife,1603960822000
JohnJam29184340,D_Alex_connect,1599817717000
bluesurferwave,OzbatRisa,1601690294000
xx2geexx,SammiG0203,1603051883000
floridagal68,WarRoomPandemic,1603753880000
PoliticalRaces,,1600353672000
DoriMuetz,ouchinagirl,1603123198000
eoalejandro,eoalejandro,1601447100000
katmur23,SKYRIDER4538,1603955441000
jgaepi,,1601626107000
s_paxton,liberTEA_party,1604343538000
brownsfan204,TheLeoTerrell,1603006260000
jhu_coah,AARPMD,1603131472000
NickTheSilent,Jorgensen4POTUS,1600157667000
CrissCrosse,DaliaAlAqidi,1603020483000
BillMcCombs3,InfidelAngela,1604348848000
TheMIAReporter1,realDonaldTrump,1604103938000
JeffEnglander,,1601682152000
TXHomeStager,,1603833289000
Delegree,,1601447666000
Brianl690,AneetahD,1604295102000
littlelisala,TimKennedyMMA,1600056949000
liber_tech,Jorgensen4POTUS,1596491573000
DemTrumpHater,DavidHamer_1951,1603552910000
jsragas,CBS_Herridge,1602985234000
mkjpeters,JohnKasich,1604320175000
jostonjustice,,1603734856000
GuiseElizabeth,TexasAFLCIO,1603884103000
larnold92,TimKennedyMMA,1600107981000
JR3ufo,JudicialWatch,1598072867000
TheMiddles_Open,,1603856461000
DrThomasPaul,PLTC_PastLives,1601685506000
J_Mab,theGrio,1604114268000
adjunctprofesor,,1602977642000
UTnewsie,CRAdvocacy,1603588049000
USA1864,WarRoomPandemic,1604106787000
Strong4895,EliotTess,1604018498000
Mikaey43,jsmccullou,1601701793000
AppSame,MMassalas,1601440577000
HoodResearch,thereidout,1603902844000
heyitsbradw,heyitsbradw,1603849210000
MetroShadowOne,,1601283196000
ThomShaf,KSPrior,1604379408000
LaurenYoung,Reuters,1603737320000
xchristinalynnx,merlinspants07,1603829938000
bctejasvi,MeidasTouch,1604361090000
rlanzara,Pol1Com,1603732269000
ClaudiaPiu,KrisB_Brown,1603688029000
virgil77712,johncusack,1602895832000
sanderhaugen,ABC,1604362380000
BellsInequality,DanScavino,1604303358000
ltlgcoach,MissILmom,1604348558000
JohnIPyke,VicToensing,1600107916000
OviCondrea,,1602821732000
NazyLil,,1604318754000
FOX61News,Keith_McGilvery,1604356390000
Ragman9432,VicToensing,1598034140000
rmpbs,,1604293320000
wnypeace,wnypeace,1604343187000
derekdob,,1601742500000
JoanieDee44,TimKennedyMMA,1600064731000
RFIMike,AriFleischer,1596480952000
HalfenDHS,,1602986484000
drniiquartelai,KristenClarkeJD,1604352374000
1pd28,SammiG0203,1602999837000
Minman452,DanScavino,1604060074000
DSMinister,phoebesaid,1603031355000
jamesreb,NewsLiebs,1598043768000
nanluvsmatt,Mr_PharaohMan,1596302408000
