Id,Verified,Followers,Region
goldenpanther12,false,4219,Pennsylvania
jhritzen,false,55,Missouri
WendyByTheSea2,false,29213,Washington
Chito_SSBU,false,213,Georgia
petluvers4Trump,false,59393,
freep,true,489529,Michigan
cyanogenmoduser,false,10,Michigan
DeeLT,false,299,District of Columbia
ErieC4L,false,136,Pennsylvania
CCV_VT,false,3233,Vermont
GlomaniBLopez,false,1259,New York
chriskallas654,false,178,Florida
charlene_redhil,false,92,
NeceHorn,false,21195,
YesOn1Nevada,false,223,Nevada
FeatheryIceCrys,false,759,
chenmarie39,false,853,Michigan
fireboy869unwa1,false,1703,Texas
Bonfiredesigns,false,8923,
half_witt,false,3365,Wisconsin
BookHelpForYou,false,476,California
21law,false,1616,Illinois
michcloe321,false,8375,Oregon
MrKyleWhitt,false,58,
perception_iq,false,2199,
ConscienceCit,false,6976,Florida
Grav1,true,3675,Texas
TweetMacro,false,1284,Illinois
DCNewsPhotog,false,726,District of Columbia
kimellis9,false,1440,Texas
gunghoindallas,false,191,Texas
MichaelSlate195,false,913,California
CactusFlower_1,false,33921,
ElFloyo,false,8519,
Huskerfancf,false,291,Colorado
Ann_earthling,false,77,Florida
ptco911,false,5971,Kansas
aliciatoralll,false,92,Florida
ksnewsservice,false,3781,Kansas
BlackWomensBP,false,23342,New York
TigerMary4Trump,false,6770,Nevada
Starbright489,false,97,Pennsylvania
Seanpaul19801,false,195,
platopoker,false,502,Arizona
MisuzT,false,3327,New Hampshire
RELXHQ,false,8081,
IrishEileen,false,2960,Illinois
MatthewNordin,true,3189,Washington
CatalenaNikole,false,6205,
edensaunt,false,1165,Pennsylvania
ProfJonTaylor,false,4337,Texas
nowbetter,false,240,New Jersey
dprnesq,false,1140,California
Colonit,false,1615,
KarenAm37109806,false,98,Arizona
deplorablecake,false,2622,Texas
littletoright,false,13436,
TxPauly,false,25082,Texas
DonaldNicolas,false,436,Florida
LWVMarin,false,406,California
Rikkisch,false,69,California
AboutMoneyRadio,false,1152,Washington
kirbycat,false,144,California
WyoJudyShepard,false,6267,Wyoming
andreacatlvr,false,1484,Florida
fhuseth,false,105,
didikins4life,false,30239,Michigan
shaninphxaz,false,1791,
anthonycalomeni,false,176,California
paullywogprod,false,7310,
MattGrantFOX46,true,3417,North Carolina
NKassheimer,false,2624,Oklahoma
boxersforlife,false,45239,Virginia
marinecorp7375,false,17,Arizona
VegasFilmCritic,false,1021,Nevada
ShawnSaintRants,false,889,Florida
SteveGuidetti,false,102,
DuncanUrbom,false,51,
SautaNan,false,236,Texas
Cass88718094,false,192,Nevada
